Question,Answer,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8
What is 5 + 3?,8,6,7,8,9,,,,
What is 10 - 4?,6,5,6,,,,,,
Which of these are even numbers?,2&&4,1,2,3,4,5,6,,
What is 3 * 4?,12,10,11,12,13,14,15,16,17
What is 20 / 4?,5,2,3,4,5,,,,
Which of these are prime numbers?,2&&3&&5,1,2,3,4,5,,,
What is 7 + 7?,14,12,13,14,,,,,
What is 15 - 8?,7,6,7,8,9,10,,,
What is 6 * 6?,36,30,32,34,36,38,,,
What is 50 / 10?,5,5,10,15,20,25,30,35,40
Which fractions are equal to 1/2?,2/4&&3/6,1/3,2/4,1/4,3/6,2/3,,,
What is the square of 3?,9,6,9,,,,,,
What is the square root of 16?,4,2,4,6,8,10,12,14,16
Which numbers are multiples of 5?,5&&15,3,5,8,12,15,18,,
What is 100 - 45?,55,45,55,65,,,,,
What is 8 * 9?,72,64,72,81,,,,,
What is 12 / 3?,4,2,3,4,5,6,,,
Which of these numbers are odd?,1&&7&&9,1,2,4,6,7,8,9,10
What is 2 + 2 * 2?,6,6,8,,,,,,
What is 10 + 20 + 30?,60,40,50,60,70,,,,
What is 1/4 + 1/4?,1/2,1/4,1/2,3/4,1,,,,
What is 0.5 * 2?,1,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0
Which of these are factors of 12?,1&&3&&4&&6,1,3,4,5,6,8,,
What is 9 - 9?,0,0,1,,,,,,
What is 7 * 0?,0,0,7,70,,,,,
What is 144 / 12?,12,10,11,12,13,14,,,
What is the perimeter of a square with side length 4?,16,8,12,16,20,24,,,
Which of these are negative numbers?,-1&&-5,-1,0,2,-5,10,,,
What is 3 cubed?,27,9,18,27,36,,,,
What is 10 modulo 3?,1,0,1,2,3,,,,
What is the next number in the sequence: 2 4 6 8?,10,8,9,10,11,12,13,14,15
What is 5 + 15?,20,10,15,20,,,,,
What is 25 - 10?,15,5,10,15,20,25,,,
Which of these are multiples of 10?,10&&30,5,10,15,25,30,,,
What is 11 * 11?,121,111,121,131,,,,,
What is 100 / 25?,4,2,4,5,10,,,,
What is the area of a rectangle with sides 5 and 3?,15,8,15,18,30,,,,
Which of these represent a half?,0.5&&50%,0.25,0.5,25%,50%,1.0,,,
What is 2 to the power of 4?,16,8,16,32,,,,,
What is 1 - 0.1?,0.9,0.1,0.9,1.1,,,,,
What is 4 * 2.5?,10,7.5,10,12.5,15,17.5,20,22.5,25
Which fractions are greater than 1?,3/2&&5/4,1/2,3/2,3/4,5/4,7/8,,,
What is 30 + 40?,70,50,60,70,80,90,,,
What is 50 - 25?,25,15,20,25,30,,,,
What is 7 * 8?,56,42,48,54,56,,,,
What is 36 / 6?,6,4,5,6,7,,,,
Which of these numbers are divisible by 3?,9&&15,4,7,9,14,15,20,,
What is 1000 / 10?,100,10,100,1000,,,,,
What is 0 + 0?,0,0,1,2,3,4,5,6,7
What is 9 * 5?,45,35,40,45,50,55,60,,
